Date,Effort,Milestones
24/02/2019,3,define_milestones
25/02/2019,4,improve_translator
26/02/2019,2,improve_translator
26/02/2019,2,implement_primary_functionality
27/02/2019,4,implement_primary_functionality
1/03/2019,3,implement_primary_functionality
2/03/2019,3,implement_primary_functionality
2/03/2019,2,start_test_bench
3/03/2019,4,implement_secondary_functionality
3/03/2019,2,implement_primary_functionality
4/03/2019,10,implement_secondary_functionality begin_test_deliverable
5/03/2019,10,implement_secondary_functionality begin_test_deliverable complete_test_deliverable
13/03/2019,2,review_project
14/03/2019,3,review_project
18/03/2019,4,research_codegen
25/03/2019,7,research_codegen complete_secondary_codegen
26/03/2019,8,research_codegen complete_secondary_codegen
